,page_id,region_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_x3,bbox_y3,bbox_x4,bbox_y4,region_text,wayang_type,article_genre,event_city
0,UM-1956-01-01-1,31,3303.0,3357.0,4779.0,3357.0,4779.0,5767.0,3303.0,5767.0,"ڠکو عد الرحسن ممبايڠکن عبدالحميد جومة سسالم مرا يو کفد سموا اعل٢ امنو، للاکي بهوا دي تيدق منجشك فندافة تنتاڠن درفدکراجأن بريتيش فرمفوان، سفاي جاڠن تيدق٢ نتڠ تنتوتن٢ ترسبوة.اکراجأن حاضر در يفل هوتيل سبلوم جم2 بر يتيش سوده فون منيم تڠ اين. مريك جوك دمنته رکارا ايت فد فوکوءڽ، کات سفاي ممباوا چوݢنکات٢ يڠ ڠکو، دان رومبوڠن مرديکا 2سسواي دان بندينا أمنو عاڽ مرونديڠکن بوتيرڽ٢ ساج 2امنو٢چواڠن ݢيلڠ اکن ݢات(بليو:"" ,,کالو ملايا ميدياکن سبواه لوري أنتوق ماروسى ملالوءي دولوفمرنتاهن ممباوا اهليڽ٢ کريفل س هوتيل سنديري سبلوم مرديکا، اف لوري ايت اکن برتولق دري يڠ ساي منتا ايت، يڠ سميمڠڽ فڠݢوڠ وايڠ تاج، تفة جم 1.30 ساڠة سدرهان دان عاديل، فتڠ دان اهل٢ امنو ݢيلڠ دمنت مستيله د بريکن. سمفي دسان سبلوم ايت. ,,تتافي سکيراڽ ساي ݢاݢل حميد جومة مڽتاکن بهو دان تيدق دافة ممباوا کمبالي ي تله فون مندافة فرمية دري کماهوان٢ رعية، مک ساي اکن فيهق فوليس انتوق مڠادکن چف سباݢي فميمفينيڠ فرارقڠن ايت. اهل٢ امنو تيدق بيجق اتو فون دفندڠ هينا يڠ ايکوة دالم فرارقين اوله سݢنف لافيسن رعية. ساي رسبوة دمنتا سفاي منجاݢ ڠاکوءي بهوا ساي تيدق اکن کأمانن. تڠکو عبدالرحمن اکن منجادي فميمفين يڠ"" بݢيتو“ منايککي سبواه کريتا يڠ تيدق کات بليو لاݢي. برتوتف اتسڽ سمنتارا لوري٢ ستروسڽ کتوا منتري ايت دان موتورسيکل دان مو تورکار",other_or_undetermined,other,
1,UM-1956-01-01-8,472,1683.0,987.0,2362.0,987.0,2362.0,2350.0,1683.0,2350.0,فرجمفأن فيلم ڠکو- چين فيڠ د سيڠافورا هاري اين يڠ 2 مڠݢمبرکن 81 فيلم رجمفأن کأمانن د باليڠ انتار کتوا کوميونيسة چين فيڠ ڠن تڠکو عبدالرحمن، کتو منتري فرسکتوان دان توان يبيد مارشل، کتوا منتري يڠافورا اکن د تايڤکن دفڠݢوڠ وايڠ سيڠافورا هاري اين فيلم ترسبوة تله دتايڠکن,film,live_event,Singapore
2,UM-1956-01-07-4,2095,3067.0,2352.0,4549.0,2352.0,4549.0,6510.0,3067.0,6510.0,کن د بوکفد 12 فيبرواري دفن. سچارا کاسر دافة کيت سنديري نتارا لاين يڠ اکن دادکن ڽقسيکن بهوا تيݢ امفة بواه سيتو اياله کيرا٢ 200 ݢراي کدي فاجق يأيت دکاتوڠ دان رنيݢأن، 20 بواه درفداڽ اکن ݢيلڠ، ستيف هاري سبت فد بري کفد اورڠ٢ ملايو. اکن جم 9 فاݢي دان 4 فتڠ فنوه ادکن جوݢ فرماينن٢ دبنجيري اوله فارا تامو يڠ سفرت روڠݢيڠ، جوݢية مودرن داتڠڽ دري کاواسن ݢيلڠ ايڠ بڠساون، وايڠ چينا، سراي، کبون اوبي اتو لبه ايڠ ݢمبر، کودا٢ فوسيڠ دان فتڽ يڠ تيڠݢل دکاواسن تامن ملي اوفيرا يڠ دفيمفين اوله هيبوران ايت. اف لاݢي جك ادين سوديرو يڠ سبهاݢين تامن هيبوران ايت دبوك.. فارا فلاکونڽ اکن د باوا سلاين دري ايت، کريسيس اسوق دري اندو نيسيا مورال دان کرونتوهن اخلاق سيارن ايت دان فمودا - فمودي کيت اتو فون ممباچ مندڠکن ورڠ٢ ديواس يڠ جيواڽسوده همفيرڽ هاري مبوکأنڽ’مک سڠݢوه منچمسکن تيدق دافة دبنتوق لاݢي ن مبه کمبڠ بياق. کيت فراسأن فندودق٢ دکاو اسن تامن يبوران ايت تراو تماڽ اورڠ٢ ڠ ممبنته سکين لام اين  مريک تله مراملکن عاقبة٢ بوروق اکن تيمبول دڠناداڽ سبواه تامن هيبوران يڠ تيدق فرلوکن ايت لبه٢ لاݢي نق کامي دملي کوليج کلڠکفن سبواه تامن هيبوران ڠ بتول٢ اکن مروفاکن سفرت تأ دافة سکولرشيف  کامي باݢي فيهق ايبو باف جاس بايک توان٢ فننتوة٢ دري کلنتن يڠ سدڠ يدق اکن کامي بلاجر دملي کوليج کو الا کڠسر، فيرق، مراس دو کچيت و فاکن اتس سيکف فجابة فلاجران کلنتن يڠ تيدق منوهي جنجيڽ کامي مريد٢ درجه لافن دولو هندق ممبري سکولرشيف سکوله سلطان سليمان کوالا (ستية سکولرشيف) کفد انق٢ کامي يڠ بلاجر دکوليج ايت. رڠݢانو مڠوچفکن تريمکاسيه کامي مراس برة هندق کفد داتوء عبدالرازق، منتري منڠݢوڠ فربلنجأن سکوله انق٢ فلاجران فرسکتوان تانه ملايو کامي کران دري سفڠݢل کسفڠݢل ڠ تله مڠمبيل برة دأتس ايوان٢ کامي مڠنأي کنايککن برتمبه باڽق بلنجاڽ لبه٢ لاݢي بلنجا تمبڠ کريتا انتارا کوالا رجه سمبيلن. اتس چمفور کڠسر دان کمفوڠ کامي. کامي اڠن داتوء ايت تيدق اکن کامي لوفاکن سعمور هيدوف. هارف فرکارا اين مندافة,stage_performance,op_ed,
3,UM-1956-01-09-1,2888,4862.0,4589.0,6393.0,4589.0,6393.0,7780.0,4862.0,7780.0,کبکارن بسردکوالا لهفور 000و7 هيلڠ رومهتڠک ݢومبق ين بناس  کوالا لمفور 8 جنواري - کيرا٢ 5000 اورڠ فندودق٢ يڠ نديامي کاواسن سسق ݢومبق لين، دبلاکڠ فڠݢوڠ! وايڠ کوليسيوم تله هيلڠ رومهتڠݢ دالم ساتو کبکارن يڠ بسر سکالي دکوالالمفور فتڠ اين. کبکارن مولا برلاکو فد جم 3.15 فتڠ تله ممبناسکن کيرا٢ 200 بواه رومه دکاواسن ايت سبلوم کريتا٢ بومبا تيبا. ساتو  فرتيݢ فندودق٢ کاواسن ايت اياله اورڠ٢ ملايو. اڽق اورڠ تله چدرا. ببراف اورڠ د بريتاکن تله هيلڠ دالم کبکارن ايت. کملاڠن جيوا بلوم دکتهوي لاݢي سوقت اخبار اين دچيتق يݢ فوله اورڠ يڠ چدرا ريڠن تله دراوة دتمفة کبکارن ايت اوله فکرج٢ سوکريلا. سئورڠ فوليس، کفرال اسحاق بن محمد يوسف تله مڽلامتکن 30 اورڠ کانق٢ دالم ماس کبکارن يت سدڠ ممونچق کران بسرڽ کبکارن ايت مک تايڠن ݢمبر دفڠݢوڠ کوليسيوم تله دهنتيکن فد جم 3.50 فتڠ دان فڠݢوڠ ايت دجاديکن رومه فاسوڠ سمنتارا انتوق دݢوناکن برهو بڠ دڠن کبکارن ايت. اداله دفرچيأي هوبڠن تيليفون کأو تارا ملايا تله ترݢند الا مالم اين کران فساوة٢ تيليفون کأو تارا يڠ مرينتاڠي کاواسن  ايت تله بناس دالم کبکارن ترسبوة. اورڠ٢ ملايو يڠ کملاڠن تله دتمفتکن درومه امنو کوالا مفور، ديوان فرنيݢأن چينا، تأون هول دان لاين٢ تمفة. بدان٢ سوکريلا تله ممبنتو کراجأن مندفترکن اورڠ٢ يڠ مالڠ ايت. جباتن کبجيکن مشارکة تله ممبري ماکن دان سليموة کفد مڠسا٢ کبکارن کيرا٢ 500 اورڠ فوليس تله دکره ککاواسن کبکارن ترسبوة,film,live_event,Kuala Lumpur
4,UM-1956-01-09-8,3359,1603.0,4160.0,2332.0,4160.0,2332.0,5366.0,1603.0,5366.0,توده منچوري بسيکل براوي بن بهروم عمور 16 تاهون، تله دتوده دمحکمه ڠ کتوجه سيڠافورا، سمالم نچوري سبواه بسيکل دفڠݢوڠ وايڠ کوءينس، سيڠافورا فدفاݢي ءجنواري يڠ لالو. دي جوݢ توده مڽيمفن بسيکل ايت يڠ له دکتهويڽ بارڠ چوري فرکاراڽ تله دتڠݢوهکن هڠݢ 11 جنواري دفن دان اي بنرکن جامين 500ڠ دڠن ساتو,other_or_undetermined,other,
5,UM-1956-01-10-3,3597,5651.0,669.0,6392.0,669.0,6392.0,1677.0,5651.0,1677.0,يڠݢو درما تي. بي. کوت بهارو 9 جنواري - ميڠݢو درما کفد اورڠ٢ يڠ برفڽاکية باتوق کريڠ دکلنتن اکن دادکن دسيني مولاءي 29 مرچ هڠݢ5 افريل دفن. ببراف فرتنجوقين سفرت: سنديوارا مالم انيکا ورن، وايڠ ݢمبر دان تاري مناري اکن دادکن سفنجلڠ يڠݢو ايت د بلاکڠ هوسفيتل بسر,film,live_event,Kota Bharu
6,UM-1956-01-11-7,4299,2621.0,3276.0,3358.0,3276.0,3358.0,4735.0,2621.0,4735.0,فيليهن راي بئت کوالا ليفيس 10 جنواري - سفوله اورڠ چينا تله مڠموکاکن ام مريک سمالم انتوق برتنديڠ الم فيليهن راي لوکل کأو نسل کاواسن فکن بنتا. اهل کأو نسل ت کسمواڽ اياله سرامي 15 اکن ورڠ. 5 اورڠ اهل لاݢي لنتيق اوله کرا جأن فمبواڠن او ندي تله تتفکن فد 16 جنواري اين فڠݢوڠ وايڠ ݢمبر بنتا دان جوݢ دبالي راي بنتا سبرڠ سلما اين فکن بنتا ترلتق د باوه دبير دان فرهاتين مجاس,film,other,
7,UM-1956-01-15-2,5903,2250.0,1993.0,2975.0,1993.0,2975.0,4183.0,2250.0,4183.0,ارتي رعية بکرج کران کمرديکأن - بستمام بسره 14 جنواري - سودار حمد بستمام، کتوا فارتي رعية لايا، تله مڠادکن ساتو مجلس تراحن دفڠݢوڠ وايڠ ݢمبر بسره کوانتن، فهڠ، بر کنأن دڠن فارتيڽ دي مڽتاکن بهوا توجوان ارتيڽ اياله بکرج برسڠݢوه٢ اݢي منچافي کمرديکأن ملايا أيت کمرديکأن يڠ منجامين کبهݢيأن هيدوف رعية.  اير فاسڠ سيڠافورا جم 1154 فاݢي دان 1.02 د ينيهاري، سلة تبراو 12.17 ڠهاري دان 1.17 دينيهاري. فورق يقسن، 806 مالم دان 821 فاکي يسوق، فورة سويتنهم 7.38 مالم دان 7.37 فاݢي ايسوق، باݢن دا توء 36 5 نتڠ دان 5.18 فاکي ايسوق، فولو فينڠ 2.2 فتڠ دان 2.10 دينيهاري، فولو ڠکاوي 1.37 فتڠ دان 1.38 د ينيهاري کوا نتن 11.05 مالم دان 10.11 فاکي يسوق، کوالا ترڠݢا نو 10.22 ماام دان,film,live_event,Kuantan
8,UM-1956-01-15-5,6096,4100.0,5422.0,5584.0,5422.0,5584.0,7148.0,4100.0,7148.0,اتڠ منايڠکن وايڠ ݢمبرڽ کمفوڠ دڠن يڠ لاين ساڠتله لاݢي جاوه. مريک تيڠݢل دتفي٢ ساي سوک منرڠکن دسيني سوڠي ببراف کجادين يڠ برلاکو دکمفوڠ اين تله دبوک کتيک ببراف بواه موتور بواه سکوله سجق تاهون 1950. ملالوءي جرم ايت. دالم بولن کراجأن مڠهنترکن سئورڠ مو بمبر يڠ لالو سبواه موتور ݢورو انتوق مڠاجر دسکوله مله ترباليک کتيك فولڠ دري يت. ݢورو اينله يڠ برسوسه لويناڠسردا موق فايه مماجوکن سکوله ايت. فندودق٢ کمفوڠ تله کهيلاڠن سبواه اينجين مبواتکن سبواه رومه انتوق فد 7دسيمبر يڠ لالو، سبواه ݢورو ايت. فد تاهون لاݢي موتور تله ترباليك. 1952 کراجأن مڠهنترکن امفة سبواه ميشين جاهية دان سبواه ورڠ ݢورو لاݢي. رومه٢ ينجين تله هيلڠ وقت دالم مريک جوݢ دبواتکن اوله کملاڠن ايت. فد 16 دسيمبر يڠ فندودق٢ کمفوڠ ترسبوة تتافي لالو، سبواه موتور لاݢي يڠ ممواة بارڠ٢ تله ترباليک. اوله. سبب کايو٢ يڠ دبواة,film,other,
9,UM-1956-01-15-5,6119,4760.0,4432.0,6345.0,4432.0,6345.0,5429.0,4760.0,5429.0,باڽق موتورر يڠ سوه کراجأن ماسيم برديم (اوله: فترا ݢونڠ تاهن، فهڠ) داوتارا نݢري فهڠ اد انتوق فندودق٢ دسيني داتڠ سبواه کمفوڠ يڠ ترفنچيل يڠ فد تيف٢ بولن. تتافي سجق بولن سفتمبر تاهون لالو، دديامي اوله فندودقڽ٢ لبه کورڠ 500 اورڠ. کمفوڠ اين موتور وايڠ ݢمبر تيدق فرنه,film,other,
